code,description,name,prerequisites
MAE 160,"The engineering and scientific aspects of crack nucleation, slow crack growth, and unstable fracture in crystalline and amorphous solids. Microstructural effects on crack initiation, fatigue crack growth and fracture toughness. Methods of fatigue testing and fracture toughness testing. Fractography and microfractography. Design safe methodologies and failure prevention. Failure analysis of real engineering structures.  ** Consent of instructor to enroll possible  **",Mechanical Behavior of Materials,[]
MAE 165,"(Cross-listed with NANO 156.) Basic principles of synthesis techniques, processing, microstructural control and unique physical properties of materials in nanodimensions. Nanowires, quantum dots, thin films, electrical transport, optical behavior, mechanical behavior, and technical applications of nanomaterials. ","Fatigue
		  and Failure Analysis of Engineering Components",[]
MAE 166,Pressure and shear waves in infinite solids. Reflection and diffraction. Rayleigh and Love waves in semi-infinite space. Impulse load on a half space. Waveguides and group velocity.  ** Consent of instructor to enroll possible  **,Nanomaterials,[]
MAE 167,"Principles and practice of measurement and control and the design and conduct of experiments. Technical report writing. Lectures relate to dimensional analysis, error analysis, signal-to-noise problems, filtering, data acquisition and data reduction, as well as background of experiments and statistical analysis. Experiments relate to the use of electronic devices and sensors. ",Wave Dynamics in Materials,"['PHYS 2C', 'PHYS 4B']"
MAE 170,"Design and analysis of experiments in fluid mechanics, solid mechanics, and control engineering. Experiments in wind tunnel, water tunnel, vibration table and material testing machines, and refined electromechanical systems. Laboratory report writing; error analysis; engineering ethics. ",Experimental Techniques,"['MAE 101A', 'MAE 170']"
MAE 171A,"Design and analysis of original experiments in mechanical engineering. Students research projects using experimental facilities in undergraduate laboratories: wind tunnel, water channel, vibration table, and testing machine and control systems. Students propose and design experiments, obtain data, complete engineering analysis and write a major report. ",Mechanical Engineering Laboratory I,['MAE 171A']
MAE 171B,"Analysis of aerospace engineering systems using experimental facilities in undergraduate laboratories: wind tunnel, water channel, vibration table, and testing machine. Students operate facilities, obtain data, complete engineering analysis and write major reports.  ** Consent of instructor to enroll possible  **",Mechanical Engineering Laboratory II,[]
MAE 175A,"Astrodynamics, orbital motion, perturbations, coordinate systems and frames of reference. Geosynchronous orbits, stationkeeping. Orbital maneuvers, fuel consumption, guidance systems. Observation instrument point, tracking, control. Basic rocket dynamics. Navigation, telemetry, re-entry, and aero-assisted maneuvers. Mission design. Students perform analyses based on mission requirements.  ** Upper-division standing required ** ",Aerospace Engineering Laboratory I,[]
MAE 180A,"Space mission concepts, architectures, and analysis. Mission geometry. Astrodynamics. Orbit and constellation design. Space environment. Payload and spacecraft design and sizing. Power sources and distribution. Thermal management. Structural design. Guidance and navigation. Space propulsion. Orbital debris and survivability. Cost modeling and risk analysis.  ** Consent of instructor to enroll possible  ** ** Upper-division standing required ** ",Spacecraft Guidance I,[]
MAE 181,"Students will develop software and methods to simulate the motion characteristics of flight vehicles. Six degree-of-freedom equations of motion will be reviewed with emphasis on computer implementation. Algorithms for data modeling, numerical integration, equilibrium, and linearization will be introduced. Three-dimensional visualization techniques will be explored for representing operator and observer viewpoints. Applications include aircraft, automobiles, and marine vessels.  ** Consent of instructor to enroll possible  ** ** Upper-division standing required ** ",Space Mission Analysis and Design,[]
MAE 184,Topics of special interest in mechanical and aerospace engineering. May be repeated for credit as topics vary. ,Flight Simulation Techniques,[]
MAE 190,Topics of special interest in mechanical and aerospace engineering with laboratory. May be repeated for credit as topics vary. ,Topics in Mechanical and Aerospace Engineering,[]
MAE 191,Students work in local industry or hospitals under faculty supervision. Units may not be applied toward graduation requirements. Salaried or unsalaried. Number of units determined by enrollment frequency. First quarter up to four units. Subsequent quarters cannot exceed one unit.  ** Consent of instructor to enroll possible  **,Topics in Mechanical and Aerospace Engineering with Laboratory,[]
MAE 197,"Directed group study on a topic or in a field not included in the regular department curriculum, by special arrangement with a faculty member. May be taken P/NP only.  ** Consent of instructor to enroll possible  **",Engineering Internship,[]
MAE 198,Independent reading or research on a problem by special arrangement with a faculty member. P/NP grades only.  ** Consent of instructor to enroll possible  **,Directed Group Study,[]
MAE 199,"This course covers topics in probability and stochastic processes, linear control and estimation including optimal linear control, nonlinear stabilization, and optimal control and estimation for nonlinear systems.  ** Consent of instructor to enroll possible  **",Independent Study for Undergraduates,[]
MATH 2,A highly adaptive course designed to build on students’ strengths while increasing overall mathematical understanding and skill. This multimodality course will focus on several topics of study designed to develop conceptual understanding and mathematical relevance: linear relationships; exponents and polynomials; rational expressions and equations; models of quadratic and polynomial functions and radical equations; exponential and logarithmic functions; and geometry and trigonometry. Workload credit only—not for baccalaureate credit.  ** Exam placement options to enroll possible ** ,Introduction to College Mathematics,[]
MATH 3C,"Functions and their graphs. Linear and polynomial functions, zeroes, inverse functions, exponential and logarithmic, trigonometric functions and their inverses. Emphasis on understanding algebraic, numerical and graphical approaches making use of graphing calculators. (No credit given if taken after MATH 4C, 1A/10A, or 2A/20A.) Three or more years of high school mathematics or equivalent recommended.  ** Exam placement options to enroll possible ** ",Precalculus,[]
MATH 4C,"Review of polynomials. Graphing functions and relations: graphing rational functions, effects of linear changes of coordinates. Circular functions and right triangle trigonometry. Reinforcement of function concept: exponential, logarithmic, and trigonometric functions. Vectors. Conic sections. Polar coordinates. (No credit given if taken after MATH 1A/10A or 2A/20A. Two units of credit given if taken after MATH 3C.)  ** Exam placement options to enroll possible ** ",Precalculus for Science and Engineering,['MATH 3C']
MATH 10A,"Differential calculus of functions of one variable, with applications. Functions, graphs, continuity, limits, derivatives, tangent lines, optimization problems. (No credit given if taken after or concurrent with MATH 20A.)  ** Exam placement options to enroll possible ** ",Calculus I,"['MATH 3C', 'MATH 4C']"
MATH 10B,"Integral calculus of functions of one variable, with applications. Antiderivatives, definite integrals, the Fundamental Theorem of Calculus, methods of integration, areas and volumes, separable differential equations. (No credit given if taken after or concurrent with MATH 20B.)  ** Exam placement options to enroll possible ** ",Calculus II,"['MATH 10A', 'MATH 20A']"
MATH 10C,"Introduction to functions of more than one variable. Vector geometry, partial derivatives, velocity and acceleration vectors, optimization problems. (No credit given if taken after or concurrent with 20C.)  ** Exam placement options to enroll possible ** ",Calculus III,"['MATH 10B', 'MATH 20B']"
MATH 11,"Events and probabilities, conditional probability, Bayes’ formula. Discrete and continuous random variables: mean, variance; binomial, Poisson distributions, normal, uniform, exponential distributions, central limit theorem. Sample statistics, confidence intervals, hypothesis testing, regression. Applications. Introduction to software for probabilistic and statistical analysis. Emphasis on connections between probability and statistics, numerical results of real data, and techniques of data analysis.   ** Exam placement options to enroll possible ** ",Calculus-Based Introductory Probability and Statistics,"['MATH 10B', 'MATH 20B']"
MATH 15A,"Basic discrete mathematical structure: sets, relations, functions, sequences, equivalence relations, partial orders, and number systems. Methods of reasoning and proofs: propositional logic, predicate logic, induction, recursion, and pigeonhole principle. Infinite sets and diagonalization. Basic counting techniques; permutation and combinations. Applications will be given to digital logic design, elementary number theory, design of programs, and proofs of program correctness. Students who have completed MATH 109 may not receive credit for MATH 15A. Credit not offered for both MATH 15A and CSE 20. Equivalent to CSE 20. ",Introduction to Discrete Mathematics,"['CSE 8B', 'CSE 11']"
MATH 18,"Matrix algebra, Gaussian elimination, determinants. Linear and affine subspaces, bases of Euclidean spaces. Eigenvalues and eigenvectors, quadratic forms, orthogonal matrices, diagonalization of symmetric matrices. Applications. Computing symbolic and graphical solutions using Matlab. Students may not receive credit for both MATH 18 and 31AH.  ** Consent of instructor to enroll possible  ** ** Exam placement options to enroll possible ** ",Linear Algebra,"['MATH 3C', 'MATH 4C', 'MATH 10A', 'MATH 20A']"
MATH 20A,"Foundations of differential and integral calculus of one variable. Functions, graphs, continuity, limits, derivative, tangent line. Applications with algebraic, exponential, logarithmic, and trigonometric functions. Introduction to the integral. (Two credits given if taken after MATH 1A/10A and no credit given if taken after MATH 1B/10B or MATH 1C/10C. Formerly numbered MATH 2A.)  ** Exam placement options to enroll possible ** ",Calculus for Science and Engineering,"['MATH 2C', 'MATH 4C', 'MATH 10A']"
MATH 20B,"Integral calculus of one variable and its
				  applications, with exponential, logarithmic, hyperbolic, and trigonometric
				  functions. Methods of integration. Infinite series. Polar coordinates in
				  the plane and complex exponentials. (Two units of credits given if taken
				  after MATH 1B/10B or MATH 1C/10C.)  ** Exam placement options to enroll possible ** ",Calculus for Science and Engineering,"['MATH 20A', 'MATH 10B', 'MATH 10C']"
MATH 20C,"Vector geometry, vector functions and their derivatives. Partial differentiation. Maxima and minima. Double integration. (Two units of credit given if taken after MATH 10C. Credit not offered for both MATH 20C and 31BH. Formerly numbered MATH 21C.)  ** Exam placement options to enroll possible ** ","Calculus
		  and Analytic Geometry for Science and Engineering",['MATH 20B']
MATH 20D,"Ordinary differential equations: exact, separable,
				  and linear; constant coefficients, undetermined coefficients, variations
				  of parameters. Systems. Series solutions. Laplace transforms. Techniques
				  for engineering sciences. Computing symbolic and graphical solutions using
				  Matlab. (Formerly numbered MATH 21D.) May be taken as repeat credit for
				  MATH 21D. ",Introduction to Differential Equations,"['MATH 20C', 'MATH 21C', 'MATH 31BH']"
MATH 20E,"Change of variable in multiple integrals, Jacobian, Line integrals, Green’s theorem. Vector fields, gradient fields, divergence, curl. Spherical/cylindrical coordinates. Taylor series in several variables. Surface integrals, Stoke’s theorem. Gauss’ theorem. Conservative fields. ",Vector Calculus,"['MATH 18', 'MATH 20F', 'MATH 31AH', 'MATH 20C', 'MATH 21C', 'MATH 31BH']"
MATH 31AH,"First quarter of three-quarter honors integrated linear algebra/multivariable calculus sequence for well-prepared students. Topics include real/complex number systems, vector spaces, linear transformations, bases and dimension, change of basis, eigenvalues, eigenvectors, diagonalization. (Credit not offered for both MATH 31AH and 20F.)  ** Consent of instructor to enroll possible  ** ** Exam placement options to enroll possible ** ",Honors Linear Algebra,[]
MATH 31BH,"Second quarter of three-quarter honors integrated linear algebra/multivariable calculus sequence for well-prepared students. Topics include derivative in several variables, Jacobian matrices, extrema and constrained extrema, integration in several variables. (Credit not offered for both MATH 31BH and 20C.)  ** Consent of instructor to enroll possible  **",Honors Multivariable Calculus,['MATH 31AH']
MATH 31CH,"Third quarter of honors integrated linear algebra/multivariable calculus sequence for well-prepared students. Topics include change of variables formula, integration of differential forms, exterior derivative, generalized Stoke’s theorem, conservative vector fields, potentials.   ** Consent of instructor to enroll possible  **",Honors Vector Calculus,['MATH 31BH']
MATH 87,"The Freshman Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman Seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering freshman. ",Freshman Seminar,[]
MATH 95,"(Cross-listed with EDS 30.) Revisit students’ learning
				  difficulties in mathematics in more depth to prepare students
				  to make meaningful observations of how K–12 teachers deal with these difficulties.
				  Explore how instruction can use students’ knowledge to pose problems
				  that stimulate students’ intellectual curiosity. ",Introduction to Teaching Math,[]
MATH 96,"Students will develop skills in analytical thinking as they solve and present solutions to challenging mathematical problems in preparation for the William Lowell Putnam Mathematics Competition, a national undergraduate mathematics examination held each year. Students must sit for at least one half of the Putnam exam (given the first Saturday in December) to receive a passing grade. P/NP grades only. May be taken for credit up to four times.  ** Exam placement options to enroll possible ** ",Putnam Seminar,['MATH 20A']
MATH 99R,Independent study or research under direction of a member of the faculty.  ** Upper-division standing required ** ,Independent Study,[]
MATH 100A,"First course in a rigorous three-quarter introduction to the methods and basic structures of higher algebra. Topics include groups, subgroups and factor groups, homomorphisms, rings, fields. (Students may not receive credit for both MATH 100A and MATH 103A.)  ** Consent of instructor to enroll possible  **",Abstract Algebra I,"['MATH 31CH', 'MATH 109']"
MATH 100B,"Second course in a rigorous three-quarter introduction to the methods and basic structures of higher algebra. Topics include rings (especially polynomial rings) and ideals, unique factorization, fields; linear algebra from perspective of linear transformations on vector spaces, including inner product spaces, determinants, diagonalization. (Students may not receive credit for both MATH 100B and MATH 103B.)  ** Consent of instructor to enroll possible  **",Abstract Algebra II,['MATH 100A']
MATH 100C,"Third course in a rigorous three-quarter introduction to the methods and basic structures of higher algebra. Topics include linear transformations, including Jordan canonical form and rational canonical form; Galois theory, including the insolvability of the quintic.  ** Consent of instructor to enroll possible  **",Abstract Algebra III,['MATH 100B']
MATH 102,"Second course in linear algebra from a computational yet geometric point
				  of view. Elementary Hermitian matrices, Schur’s theorem, normal matrices,
				  and quadratic forms. Moore-Penrose generalized inverse and least square
				  problems. Vector and matrix norms. Characteristic and singular values.
				  Canonical forms. Determinants and multilinear algebra.  ** Consent of instructor to enroll possible  **",Applied Linear Algebra,"['MATH 18', 'MATH 20F', 'MATH 31AH', 'MATH 20C']"
MATH 103A,"First course in a two-quarter introduction to abstract algebra with some applications. Emphasis on group theory. Topics include definitions and basic properties of groups, properties of isomorphisms, subgroups. (Students may not receive credit for both MATH 100A and MATH 103A.)  ** Consent of instructor to enroll possible  **",Modern Algebra I,"['MATH 31CH', 'MATH 109']"
MATH 103B,"Second course in a two-quarter introduction to abstract algebra with some applications. Emphasis on rings and fields. Topics include definitions and basic properties of rings, fields, and ideals, homomorphisms, irreducibility of polynomials. (Students may not receive credit for both MATH 100B and MATH 103B.)  ** Consent of instructor to enroll possible  **",Modern Algebra II,"['MATH 103A', 'MATH 100A']"
MATH 104A,"Elementary number theory with applications.  Topics include
                  unique factorization, irrational numbers, residue systems,
                  congruences, primitive roots, reciprocity laws, quadratic forms,
                  arithmetic functions, partitions, Diophantine equations, distribution
                  of primes. Applications include fast Fourier transform, signal
                  processing, codes, cryptography.  ** Consent of instructor to enroll possible  **",Number Theory I,"['MATH 100B', 'MATH 103B']"
MATH 104B,"Topics in number theory such as finite fields, continued fractions,
                  Diophantine equations, character sums, zeta and theta functions,
                  prime number theorem, algebraic integers, quadratic and cyclotomic
                  fields, prime ideal theory, class number, quadratic forms,
                  units, Diophantine approximation, p-adic numbers,
                  elliptic curves.  ** Consent of instructor to enroll possible  **","Number Theory
                  II",['MATH 104A']
MATH 104C,"Topics in algebraic and analytic number theory, with an advanced
                  treatment of material listed for MATH 104B.  ** Consent of instructor to enroll possible  **",Number Theory III,[]
MATH 105,"The course will cover the basic arithmetic properties of the integers, with applications to Diophantine equations and elementary Diophantine approximation theory. No credit offered for MATH 105 if MATH 104A taken previously or concurrently.  ** Consent of instructor to enroll possible  **",Basic Number Theory,"['MATH 31CH', 'MATH 109']"
MATH 106,"Plane curves, Bezout’s theorem, singularities of plane curves. Affine and projective spaces, affine and projective varieties. Examples of all the above. Instructor may choose to include some commutative algebra or some computational examples.  ** Consent of instructor to enroll possible  **",Introduction to Algebraic Geometry,"['MATH 100B', 'MATH 103B']"
MATH 109,"This course uses a variety of topics in mathematics to introduce the students to rigorous mathematical proof, emphasizing quantifiers, induction, negation, proof by contradiction, naive set theory, equivalence relations and epsilon-delta proofs. Required of all departmental majors.  ** Consent of instructor to enroll possible  **",Mathematical Reasoning,"['MATH 18', 'MATH 20F', 'MATH 31AH', 'MATH 20C']"
MATH 110,"An introduction to partial differential equations focusing on equations in two variables. Topics include the heat and wave equation on an interval, Laplace’s equation on rectangular and circular domains, separation of variables, boundary conditions and eigenfunctions, introduction to Fourier series, software methods for solving equations. Formerly MATH 110A. (Students may not receive credit for MATH 110 and MATH 110A.)  ** Consent of instructor to enroll possible  **",Introduction to Partial Differential Equations,"['MATH 18', 'MATH 20F', 'MATH 31AH', 'MATH 20D', 'MATH 20E', 'MATH 31CH']"
MATH 111A,"An introduction to mathematical modeling in the physical and
                  social sciences. Topics vary, but have included mathematical
                  models for epidemics, chemical reactions, political organizations,
                  magnets, economic mobility, and geographical distributions
                  of species. May be taken for credit two times when topics change.  ** Consent of instructor to enroll possible  **",                  Mathematical Modeling I,"['MATH 20D', 'MATH 18', 'MATH 20F', 'MATH 31AH', 'MATH 109', 'MATH 31CH']"
MATH 111B,"Continued study on mathematical modeling in the physical and social sciences, using advanced techniques that will expand upon the topics selected and further the mathematical theory presented in MATH 111A.  ** Consent of instructor to enroll possible  **",Mathematical Modeling II,['MATH 111A']
MATH 112A,"Part one of a two-course introduction to the use of mathematical theory and techniques in analyzing biological problems. Topics include differential equations, dynamical systems, and probability theory applied to a selection of biological problems from population dynamics, biochemical reactions, biological oscillators, gene regulation, molecular interactions, and cellular function. May be coscheduled with MATH 212A. Recommended preparation: MATH 130 and MATH 180A.  ** Consent of instructor to enroll possible  **",Introduction to Mathematical Biology I,"['MATH 11', 'MATH 180A', 'MATH 183', 'MATH 186', 'MATH 18', 'MATH 31AH', 'MATH 20D', 'BILD 1']"
MATH 112B,"Part two of an introduction to the use of mathematical theory and techniques in analyzing biological problems. Topics include partial differential equations and stochastic processes applied to a selection of biological problems, especially those involving spatial movement, such as molecular diffusion, bacterial chemotaxis, tumor growth, and biological patterns. May be coscheduled with MATH 212B. Recommended preparation: MATH 180B.  ** Consent of instructor to enroll possible  **",Introduction to Mathematical Biology II,"['MATH 112A', 'MATH 110', 'MATH 180A']"
MATH 114,"Topics include random number generators, variance reduction, Monte Carlo (including Markov Chain Monte Carlo) simulation, and numerical methods for stochastic differential equations. Methods will be illustrated on applications in biology, physics, and finance. May be coscheduled with MATH 214. Recommended preparation: CSE 5A, CSE 8A, CSE 11, or ECE 15. Students should complete a computer programming course before enrolling in MATH 114.  ** Consent of instructor to enroll possible  **",Introduction to Computational Stochastics,['MATH 180A']
MATH 120A,"Complex numbers and functions. Analytic functions, harmonic functions,
				  elementary conformal mappings. Complex integration. Power series.
				  Cauchy’s theorem. Cauchy’s formula. Residue theorem.  ** Consent of instructor to enroll possible  **",Elements of Complex Analysis,"['MATH 20E', 'MATH 31CH']"
MATH 120B,"Applications of the residue theorem. Conformal
				  mapping and applications to potential theory, flows, and temperature
				  distributions. Fourier transformations. Laplace transformations, and applications
				  to integral and differential equations. Selected topics such as Poisson’s
				  formula, Dirichlet’s problem, Neumann’s problem, or special functions.  ** Consent of instructor to enroll possible  **",Applied Complex Analysis,['MATH 120A']
MATH 121A,"(Cross-listed with EDS 121A.) Develop teachers’ knowledge base (knowledge of mathematics content, pedagogy, and student learning) in the context of advanced mathematics. This course builds on the previous courses where these components of knowledge were addressed exclusively in the context of high-school mathematics. ","Foundations
		  of Teaching and Learning Mathematics I",['EDS 30/MATH']
MATH 121B,(Cross-listed with EDS 121B.) Examine how learning theories can consolidate observations about conceptual development with the individual student as well as the development of knowledge in the history of mathematics. Examine how teaching theories explain the effect of teaching approaches addressed in the previous courses. ,"Foundations
		  of Teaching and Learning Math II",['EDS 121A/MATH']
MATH 130,"An introduction to ordinary differential equations from the dynamical systems perspective. Topics include flows on lines and circles, two-dimensional linear systems and phase portraits, nonlinear planar systems, index theory, limit cycles, bifurcation theory, applications to biology, physics, and electrical engineering. Formerly MATH 130A. (Students may not receive credit for MATH 130 and MATH 130A.)  ** Consent of instructor to enroll possible  **",Differential Equations and Dynamical Systems ,"['MATH 18', 'MATH 20F', 'MATH 31AH', 'MATH 20D']"
MATH 140A,"First course in a rigorous three-quarter sequence on real analysis. Topics include the real number system, basic topology, numerical sequences and series, continuity. (Students may not receive credit for both MATH 140A and MATH 142A.)  ** Consent of instructor to enroll possible  **",Foundations of Real Analysis I,"['MATH 31CH', 'MATH 109']"
MATH 140B,"Second course in a rigorous three-quarter sequence on real analysis. Topics include differentiation, the Riemann-Stieltjes integral, sequences and series of functions, power series, Fourier series, and special functions. (Students may not receive credit for both MATH 140B and MATH 142B.)  ** Consent of instructor to enroll possible  **",Foundations of Real Analysis II,['MATH 140A']
MATH 140C,"Third course in a rigorous three-quarter sequence on real analysis. Topics include differentiation of functions of several real variables, the implicit and inverse function theorems, the Lebesgue integral, infinite-dimensional normed spaces.  ** Consent of instructor to enroll possible  **",Foundations of Real Analysis III,['MATH 140B']
MATH 142A,"First course in an introductory two-quarter
				  sequence on analysis. Topics include the real number system, numerical sequences and series, infinite limits, limits of functions, continuity, differentiation. Students may not receive credit for MATH 142A if taken after or concurrently with MATH 140A.   ** Consent of instructor to enroll possible  **",Introduction to Analysis I,"['MATH 31CH', 'MATH 109']"
MATH 142B,"Second course in an introductory two-quarter sequence on analysis. Topics include the Riemann integral, sequences and series of functions, uniform convergence, Taylor series, introduction to analysis in several variables. Students may not receive credit for MATH 142B if taken after or concurrently with MATH 140B.  ** Consent of instructor to enroll possible  **",Introduction to Analysis II,"['MATH 142A', 'MATH 140A']"
MATH 144,"Rigorous introduction to the theory of Fourier series and Fourier transforms. Topics include basic properties of Fourier series, mean square and pointwise convergence, Hilbert spaces, applications of Fourier series, the Fourier transform on the real line, inversion formula, Plancherel formula, Poisson summation formula, Heisenberg uncertainty principle, applications of the Fourier transform.  ** Consent of instructor to enroll possible  **",Introduction to Fourier Analysis,"['MATH 140B', 'MATH 142B']"
MATH 146,"A rigorous introduction to systems of ordinary differential equations. Topics include linear systems, matrix diagonalization and canonical forms, matrix exponentials, nonlinear systems, existence and uniqueness of solutions, linearization, and stability.  ** Consent of instructor to enroll possible  **",Analysis of Ordinary Differential Equations,"['MATH 140B', 'MATH 142B']"
MATH 148,"A rigorous introduction to partial differential equations. Topics include initial and boundary value problems; first order linear and quasilinear equations, method of characteristics; wave and heat equations on the line, half-line, and in space; separation of variables for heat and wave equations on an interval and for Laplace’s equation on rectangles and discs; eigenfunctions of the Laplacian and heat, wave; Poisson’s equations on bounded domains; and Green’s functions and distributions.  ** Consent of instructor to enroll possible  **",Analysis of Partial Differential Equations,"['MATH 140B', 'MATH 142B']"
MATH 150A,"Differential geometry of curves and surfaces.
				  Gauss and mean curvatures, geodesics, parallel displacement, Gauss-Bonnet
				  theorem.  ** Consent of instructor to enroll possible  **",Differential Geometry,"['MATH 20E', 'MATH 18', 'MATH 20F', 'MATH 31AH']"
MATH 150B,"Calculus of functions of several variables,
				  inverse function theorem. Further topics may include exterior
				  differential forms, Stokes’ theorem, manifolds, Sard’s theorem, elements
				  of differential topology, singularities of maps, catastrophes, further
				  topics in differential geometry, topics in geometry of physics.  ** Consent of instructor to enroll possible  **",Calculus on Manifolds,['MATH 150A']
MATH 152,"This course will give students experience
				  in applying theory to real world applications such as internet and wireless
				  communication problems. The course will incorporate talks by experts from
				  industry and students will be helped to carry out independent projects.
				  Topics include graph visualization, labelling, and embeddings, random graphs
				  and randomized algorithms. May be taken for credit three times.  ** Consent of instructor to enroll possible  **",Applicable Mathematics and Computing,"['MATH 20D', 'MATH 18', 'MATH 20F', 'MATH 31AH']"
MATH 153,"Two- and three-dimensional Euclidean geometry
				  is developed from one set of axioms. Pedagogical issues will emerge from
				  the mathematics and be addressed using current research in teaching and
				  learning geometry. This course is designed for prospective secondary school
				  mathematics teachers.  ** Consent of instructor to enroll possible  **",Geometry for Secondary Teachers,"['MATH 109', 'MATH 31CH']"
MATH 154,"Basic concepts in graph theory, including trees, walks, paths, and connectivity, cycles, matching theory, vertex and edge-coloring, planar graphs, flows and combinatorial algorithms, covering Hall’s theorems, the max-flow min-cut theorem, Euler’s formula, and the travelling salesman problem. Credit not offered for MATH 154 if MATH 158 is previously taken. If MATH 154 and MATH 158 are concurrently taken, credit is only offered for MATH 158.  ** Consent of instructor to enroll possible  **",Discrete Mathematics and Graph Theory,"['MATH 31CH', 'MATH 109']"
MATH 155A,"Bezier curves and control lines, de Casteljau construction for subdivision,
				  elevation of degree, control points of Hermite curves, barycentric coordinates,
				  rational curves. Programming knowledge recommended. (Students may not receive
				  credit for both MATH 155A and CSE 167.)  ** Consent of instructor to enroll possible  **",Geometric Computer Graphics,"['MATH 18', 'MATH 20F', 'MATH 31AH', 'MATH 20C']"
MATH 155B,"Spline curves, NURBS, knot insertion, spline interpolation, illumination models, radiosity, and ray tracing.  ** Consent of instructor to enroll possible  **",Topics in Computer Graphics,['MATH 155A']
MATH 157,"A hands-on introduction to the use of a variety of open-source mathematical software packages, as applied to a diverse range of topics within pure and applied mathematics. Most of these packages are built on the Python programming language, but no prior experience with mathematical software or computer programming is expected. All software will be accessed using the CoCalc web platform (http://cocalc.com), which provides a uniform interface through any web browser.  ** Consent of instructor to enroll possible  **",Introduction to Mathematical Software,"['MATH 20D', 'MATH 18', 'MATH 20F', 'MATH 31AH']"
MATH 158,"Extremal combinatorics is the study of how large or small a finite set can be under combinatorial restrictions. We will give an introduction to graph theory, connectivity, coloring, factors, and matchings, extremal graph theory, Ramsey theory, extremal set theory, and an introduction to probabilistic combinatorics. Topics include Turan’s theorem, Ramsey’s theorem, Dilworth’s theorem, and Sperner’s theorem. Credit not offered for MATH 158 if MATH 154 was previously taken. If MATH 154 and MATH 158 are concurrently taken, credit is only offered for MATH 158. A strong performance in MATH 109 or MATH 31CH is recommended.  ** Consent of instructor to enroll possible  **",Extremal Combinatorics and Graph Theory,"['MATH 31CH', 'MATH 109']"
MATH 160A,"An introduction to recursion theory, set theory, proof theory, model theory. Turing machines. Undecidability of arithmetic and predicate logic. Proof by induction and definition by recursion. Cardinal and ordinal numbers. Completeness and compactness theorems for propositional and predicate calculi.  ** Consent of instructor to enroll possible  **",Elementary Mathematical Logic I,"['MATH 100A', 'MATH 103A', 'MATH 140A']"
MATH 160B,"A continuation of recursion theory, set theory, proof theory, model theory. Turing machines. Undecidability of arithmetic and predicate logic. Proof by induction and definition by recursion. Cardinal and ordinal numbers. Completeness and compactness theorems for propositional and predicate calculi.  ** Consent of instructor to enroll possible  **",Elementary Mathematical Logic II,['MATH 160A']
MATH 163,"Topics will vary from year to year in areas of mathematics and their development. Topics may include the evolution of mathematics from the Babylonian period to the eighteenth century using original sources, a history of the foundations of mathematics and the development of modern mathematics.  ** Consent of instructor to enroll possible  **",History of Mathematics,['MATH 20B']
MATH 168A,"Topics to be chosen in areas of applied mathematics
				  and mathematical aspects of computer science. May be taken for credit two times with different topics.  ** Consent of instructor to enroll possible  **",Topics in Applied Mathematics—Computer Science,"['MATH 18', 'MATH 20F', 'MATH 31AH', 'MATH 20C']"
MATH 170A,Analysis of numerical methods for linear algebraic systems and least squares problems. Orthogonalization methods. Ill conditioned problems. Eigenvalue and singular value computations. Knowledge of programming recommended.  ** Consent of instructor to enroll possible  **,"Introduction
		  to Numerical Analysis: Linear Algebra","['MATH 18', 'MATH 20F', 'MATH 31AH', 'MATH 20C']"
MATH 170B,Rounding and discretization errors. Calculation of roots of polynomials and nonlinear equations. Interpolation. Approximation of functions. Knowledge of programming recommended. ,Introduction to Numerical Analysis: Approximation and Nonlinear Equations,['MATH 170A']
MATH 170C,Numerical differentiation and integration. Ordinary differential equations and their numerical solution. Basic existence and stability theory. Difference equations. Boundary value problems.  ** Consent of instructor to enroll possible  **,Introduction to Numerical Analysis: Ordinary Differential Equations,"['MATH 20D', 'MATH 170B']"
MATH 171A,"Linear optimization and applications. Linear programming, the simplex method, duality. Selected topics from integer programming, network flows, transportation problems, inventory problems, and other applications. Three lectures, one recitation. Knowledge of programming recommended. (Credit not allowed for both MATH 171A and ECON 172A.)  ** Consent of instructor to enroll possible  **","Introduction
		  to Numerical Optimization: Linear Programming","['MATH 18', 'MATH 20F', 'MATH 31AH', 'MATH 20C']"
MATH 171B,"Convergence of sequences in Rn, multivariate Taylor series. Bisection and related methods for nonlinear equations in one variable. Newton’s methods for nonlinear equations in one and many variables. Unconstrained optimization and Newton’s method. Equality-constrained optimization, Kuhn-Tucker theorem. Inequality-constrained optimization. Three lectures, one recitation. Knowledge of programming recommended. (Credit not allowed for both MATH 171B and ECON 172B.)  ** Consent of instructor to enroll possible  **","Introduction
		  to Numerical Optimization: Nonlinear Programming",['MATH 171A']
MATH 173A,"Introduction to convexity: convex sets, convex functions; geometry of hyperplanes; support functions for convex sets; hyperplanes and support vector machines. Linear and quadratic programming: optimality conditions; duality; primal and dual forms of linear support vector machines; active-set methods; interior methods.  ** Consent of instructor to enroll possible  **",Optimization Methods for Data Science I,"['MATH 20C', 'MATH 31BH', 'MATH 20F']"
